,Country,Poverty Headcount Ratio % Pop,Population Growth %annual,Total Population,Total Reserves,Gross Debt Position %GDP,Export Goods Services %GDP,Import Goods Services %GDP,Energy Intensity Level of Primary Energy mj per $,"Current account balance (BoP, current US$)",GDP (current US$),GDP growth (annual %),CO2 emissions (metric tons per capita),Access to electricity (% of population),"Annual freshwater withdrawals, industry (% of total freshwater withdrawal)",Population density (people per sq. km of land area),"Manufacturing, value added (% of GDP)","Industry, value added (% of GDP)","Services, value added (% of GDP)",Urban population (% of total population),Nuclear Language,Section on Nuclear,Operational Capacity (MW),Under Construction Capacity (MW),Shutdown Capacity (MW),Nuclear
60,IRN,0.5,1.29302669121629,83992953.0,7685456407.40762,42.76831748,15.031970865166,21.1220320115564,7.79411629860581,12481000000.0,191718271483.759,1.66179375961026,7.69301259933288,100.0,1.1789924973,50.2223802156242,14.7821432892218,30.5509610232214,57.020519055481,75.874,0,0,915.0,974.0,0.0,1
61,IRQ,1.7,2.29530432997508,40222503.0,65340042658.0155,81.1529261,39.968190663865,32.4961361402252,3.71626708149862,-6196900000.0,167224432560.319,-10.3650901764239,4.89519536080978,100.0,5.317769131,88.5305808425165,1.99952734159791,44.3957866792372,50.779282374023,70.893,0,0,0.0,0.0,0.0,0
62,ISL,0.0,1.61271631750822,366425.0,6419314385.06349,79.86738928,34.1005735865763,34.6955457272057,16.557495602537,235516397.744742,21714670569.6033,-6.6491054127991,6.23722432177273,100.0,71.1462450593,3.49817514628583,8.7217443139656,19.8599583015094,65.9998394579601,93.898,0,0,0.0,0.0,0.0,0
63,ISR,0.2,1.78321064217074,9216900.0,173292120893.254,73.03504279,28.3199654245787,23.9864560376044,3.59058439689,19784700000.0,401953804837.087,-2.43998591588895,6.97640383662809,100.0,3.125,410.480591497227,10.8719068907175,18.4645243408671,71.1604603270578,92.587,0,0,0.0,0.0,0.0,0
64,ITA,1.4,-0.293517052809649,59554023.0,210687330553.17,155.5622292,29.4897132462688,25.8283129840132,3.07219897115511,69734980982.2536,1886445268340.71,-8.87114634766792,5.37637433931087,100.0,22.5225225225,202.941457024821,14.865842707555,21.5112253010711,66.7510235106684,71.039,0,0,0.0,0.0,1423.0,1
65,JAM,1.7,0.436048924264813,2961161.0,4081089663.51824,105.4891504,37.8999801885696,52.0745268861885,5.20720144232321,-318538083.619109,13812421803.4084,-10.2,2.89963415544152,99.3837738037109,81.2407680945,270.992890120037,7.95270594551504,20.3912395369836,59.7396040932866,56.311,0,0,0.0,0.0,0.0,0
66,JOR,0.1,0.999208651805595,10203140.0,15543454210.4578,88.54036964,23.7202894605874,41.651633140626,4.64266142520708,-1003464788.7324,43697659275.3137,-1.5513843252939,2.47859527268662,100.0,3.1127286658,112.24737553503,17.2705280881531,23.9135290785133,61.5878984686728,91.418,0,0,0.0,0.0,0.0,0
67,JPN,0.7,-0.340268777594094,125836021.0,1390808939303.37,256.2172349,17.5501127381524,17.3790811093456,3.74238616904232,164496624662.014,5064872875604.59,0.270308582079323,8.7422577098865,100.0,14.2541436464,347.130589849108,20.746867035077,29.0720136422082,69.3135669969687,91.782,1,0,31679.0,2653.0,17119.0,1
68,KAZ,0.0,1.29209842042897,18754440.0,35638096635.119,27.36318435,36.4389870990994,28.419629452657,7.92285245133914,-6272826752.61787,169835426427.153,-2.60000000027189,12.0619691393056,100.0,28.5632489469,6.76980849724043,12.6608976593723,33.1220877807574,55.7537470524431,57.671,1,0,0.0,0.0,52.0,1
69,KEN,37.1,2.25187943057208,53771300.0,8297263558.90541,68.68722512,11.2604840756098,20.1563784522012,7.84569055131701,-5559231016.68245,98842939649.1149,-0.307497490498449,0.358028407608337,69.7,7.5148809524,90.2986435674878,7.54190912861537,16.1761695357592,42.1900681530255,27.995,0,0,0.0,0.0,0.0,0
70,KHM,,1.39996509699246,16718971.0,21328475092.6612,31.57626545,62.4454107939222,63.897424049794,5.76953772321403,-3075615892.42875,25291251427.3979,-3.14103480632566,0.686777894736518,93.0,1.510989011,92.0563958758214,16.5274519290141,34.670719337936,36.2085671724565,24.232,0,0,0.0,0.0,0.0,0
71,KIR,12.9,1.55073260348907,119446.0,,17.25814816,9.63032728985166,88.7620863303888,4.13745997897163,86818266.8180729,199573325.992705,2.53807106598984,0.690595811536403,100.0,,143.014814814815,4.07688159383853,12.4706624030625,63.257935392725,55.594,0,0,0.0,0.0,0.0,0
72,KOR,0.2,0.138141336294406,51780579.0,443462937570.176,48.68060823,36.8974267959481,33.1809523631366,6.54805337164954,75275700000.0,1630525005469.11,-0.957766223525297,12.224591362122,100.0,16.43157817,529.190248154225,24.9463055188308,32.8011976806499,57.0188441608522,81.414,0,0,23150.0,5360.0,1237.0,1
73,LAO,10.0,1.46904562085281,7275556.0,1392600618.8923,67.98397939,33.2094274563541,41.8824634642904,5.17189025046944,-947266493.462598,19136194848.6534,0.439513530709007,2.66090849278722,100.0,2.3224043716,30.5957452339688,7.63645836808385,32.081616522878,40.6365437807455,36.29,0,0,0.0,0.0,0.0,0
74,LBN,0.0,-0.442463494176285,6825442.0,42440403086.5713,154.3639862,26.8907336614014,44.8332246148046,4.17764316047602,-11539788230.5333,33383246857.58,-20.2999931945589,4.03970721671608,100.0,48.9130434783,670.518866080156,2.69922674065464,7.24130154729577,86.3607462624388,88.925,0,0,0.0,0.0,0.0,0
75,LBR,44.4,2.40736760615038,5057677.0,538124440.834905,61.76709566,28.6066640677966,94.539673559322,25.9923426815392,-653403371.780943,2950000000.0,-2.87072242804096,0.273917114341304,27.6492099761963,36.6004112406,50.0308970099668,1.68644829027388,11.6697674576271,49.6923305084746,52.089,0,0,0.0,0.0,0.0,0
76,LCA,4.6,0.45521114346163,183629.0,231361279.000779,85.59606365,,,3.18626739415913,102844196.7964,1703364240.74074,-20.211549191879,2.14415305954148,99.5477752685547,0.0,298.180327868852,4.20995840276532,12.1929296586258,71.9991925782517,18.841,0,0,0.0,0.0,0.0,0
77,LKA,0.9,0.530626559530355,21919000.0,5663994385.3332,100.0781466,16.5835642765473,22.9398155039189,2.06413179049108,-1808060465.43059,80706600228.6499,-3.5690761372374,0.998154130133826,100.0,6.4189711108,350.284495021337,16.2049957256583,26.2475369425768,59.6656652221768,18.713,1,0,0.0,0.0,0.0,0
78,LSO,27.2,0.796017062223488,2142252.0,774095190.47731,50.26428477,45.4880154722391,93.1609910331999,9.72402849997534,-51896757.0538845,1844510137.67817,-11.0609937385315,1.21897599376188,44.6406784057617,45.6621004566,69.4442358366271,15.8007769126911,29.8880123828532,52.8353076923087,29.028,0,0,0.0,0.0,0.0,0
79,LTU,0.9,0.0201473044178691,2794700.0,4846519049.92043,46.98039312,74.0737357199101,64.4216154846271,3.85930726853182,4699880273.72719,55887271833.0025,-0.871905539751921,4.13700592851868,100.0,26.9111969112,44.731646175954,15.5807916441037,24.856998813644,61.5487222638602,68.046,0,0,0.0,0.0,2370.0,1
